src_ip,dest_ip,proto,src_port,dest_port,alert.severity
1.0,1.0,1.0,0.6449787619033015,1.0,0.0
1.0,1.0,1.0,0.46706944934292244,1.0,0.0
1.0,1.0,1.0,0.5860487939521261,1.0,0.0
1.0,1.0,1.0,0.3768573750632543,1.0,0.0
1.0,1.0,1.0,0.5524205296489964,1.0,0.0
1.0,1.0,1.0,0.585987456488737,1.0,0.0
1.0,1.0,1.0,0.47220646190176807,1.0,0.0
1.0,1.0,1.0,0.5366874702896661,1.0,0.0
1.0,1.0,1.0,0.6093263613083281,1.0,0.0
1.0,1.0,1.0,0.9409166883903516,1.0,0.0
1.0,1.0,1.0,0.8486651434529925,1.0,0.0
1.0,1.0,1.0,0.3745725545520065,1.0,0.0
1.0,1.0,1.0,0.5457500805054207,1.0,0.0
1.0,1.0,1.0,0.9282658365663288,1.0,0.0
1.0,1.0,1.0,0.5238219373437811,1.0,0.0
1.0,1.0,1.0,0.8910033275573889,1.0,0.0
1.0,1.0,1.0,0.9691625902810789,1.0,0.0
1.0,1.0,1.0,0.351371659025041,1.0,0.0
1.0,1.0,1.0,0.44011163418336835,1.0,0.0
1.0,1.0,1.0,0.6392283747105638,1.0,0.0
1.0,1.0,1.0,0.5874595556100778,1.0,0.0
1.0,1.0,1.0,0.41881220002146813,1.0,0.0
1.0,1.0,1.0,0.37385183935718336,1.0,0.0
1.0,1.0,1.0,0.2872586754174781,1.0,0.0
1.0,1.0,1.0,0.37954088908653183,1.0,0.0
1.0,1.0,1.0,0.7394384555226718,1.0,0.0
1.0,1.0,1.0,0.9398432827810406,1.0,0.0
1.0,1.0,1.0,0.5869535215371169,1.0,0.0
1.0,1.0,1.0,0.9689325747933695,1.0,0.0
1.0,1.0,1.0,0.9032708202352292,1.0,0.0
1.0,1.0,1.0,0.9686718905739653,1.0,0.0
1.0,1.0,1.0,0.3786668302332357,1.0,0.0
1.0,1.0,1.0,0.9070890773312069,1.0,0.0
1.0,1.0,1.0,0.5398003465566682,1.0,0.0
1.0,1.0,1.0,0.7515832732737338,1.0,0.0
1.0,1.0,1.0,0.40948890558630946,1.0,0.0
1.0,1.0,1.0,0.9507306825326238,1.0,0.0
1.0,1.0,1.0,0.25945747013632253,1.0,0.0
1.0,1.0,1.0,0.6575222731663932,1.0,0.0
1.0,1.0,1.0,0.5145139772744698,1.0,0.0
1.0,1.0,1.0,0.9333875147593271,1.0,0.0
1.0,1.0,1.0,0.3108429300906261,1.0,0.0
1.0,1.0,1.0,0.6444420590986459,1.0,0.0
1.0,1.0,1.0,0.5386502691181206,1.0,0.0
1.0,1.0,1.0,0.7405578642295247,1.0,0.0
1.0,1.0,1.0,0.8083510956404398,1.0,0.0
1.0,1.0,1.0,0.39554996703111345,1.0,0.0
1.0,1.0,1.0,0.5665894836919019,1.0,0.0
1.0,1.0,1.0,0.410945670341803,1.0,0.0
1.0,1.0,1.0,0.2803735451520402,1.0,0.0
1.0,1.0,1.0,0.6698971064051646,1.0,0.0
1.0,1.0,1.0,0.5647800285219204,1.0,0.0
1.0,1.0,1.0,0.7940287979390612,1.0,0.0
1.0,1.0,1.0,0.7169429408246822,1.0,0.0
1.0,1.0,1.0,0.3390734976155061,1.0,0.0
1.0,1.0,1.0,0.3105669115053747,1.0,0.0
1.0,1.0,1.0,0.631883213469707,1.0,0.0
1.0,1.0,1.0,0.42328983484887983,1.0,0.0
1.0,1.0,1.0,0.25608390964991645,1.0,0.0
1.0,1.0,1.0,0.6852161378866177,1.0,0.0
1.0,1.0,1.0,0.6623525984082929,1.0,0.0
1.0,1.0,1.0,0.8780611227822673,1.0,0.0
1.0,1.0,1.0,0.307162682287274,1.0,0.0
1.0,1.0,1.0,0.8833054759020441,1.0,0.0
1.0,1.0,1.0,0.4316163955039639,1.0,0.0
1.0,1.0,1.0,0.33712603315289896,1.0,0.0
1.0,1.0,1.0,0.3071013448238848,1.0,0.0
1.0,1.0,1.0,0.5152193581034457,1.0,0.0
1.0,1.0,1.0,0.31551991167405274,1.0,0.0
1.0,1.0,1.0,0.358517473509883,1.0,0.0
1.0,1.0,1.0,0.5144833085427752,1.0,0.0
1.0,1.0,1.0,0.9944489595632773,1.0,0.0
1.0,1.0,1.0,0.9022740864551546,1.0,0.0
1.0,1.0,1.0,0.3289681505221352,1.0,0.0
1.0,1.0,1.0,0.5929032554858694,1.0,0.0
1.0,1.0,1.0,0.250701547237514,1.0,0.0
1.0,1.0,1.0,0.28314906537040163,1.0,0.0
1.0,1.0,1.0,0.7076043120236762,1.0,0.0
1.0,1.0,1.0,0.3117783264073114,1.0,0.0
